no;fecha;ley taller;peso taller;ley jerusalen;peso factura;peso oro puro factura;peso oro puro real;diferencia peso oro puro;diferencia en valor
148;10/17/2025;"0,883";"123,49";"0,882";"123,5";"108,92";"108,91818";"-0,00182";"919,1"
149;10/17/2025;;"7,1";"0,868";"7,11";"6,17";"6,1628";"-0,0072";3636
150;10/17/2025;;"51,04";"0,675";"51,04";"30,87";"34,452";"3,582";-1808910
151;10/17/2025;;"119,17";"0,734";"119,17";"87,47";"87,47078";"0,00078";"-393,9"
152;10/20/2025;"0,886";"83,26";"0,884";"83,26";"73,6";"73,60184";"0,00184";"-938,4"
153;10/20/2025;"0,9";"43,84";"0,894";"43,84";"39,19";"39,19296";"0,00296";"-1509,6"
154;10/20/2025;"0,875";"80,23";"0,881";"80,23";"70,68";"70,68263";"0,00263";"-1341,3"
155;10/20/2025;"0,77";"28,05";"0,884";"28,05";"24,79";"24,7962";"0,0062";-3162
156;10/23/2025;"0,878";"86,18";"0,88";"86,18";"75,83";"75,8384";"0,0084";"-4166,4"
157;10/23/2025;;"50,2";"0,607";"50,2";"30,47";"30,4714";"0,0014";"-694,4"
158;10/25/2025;"0,884";"102,5";"0,885";"102,5";"90,61";"90,7125";"0,1025";-49405
159;10/28/2025;"0,75";"38,98";"0,739";"38,98";"28,81";"28,80622";"-0,00378";"1821,96"
160;10/28/2025;"0,894";"156,08";"0,898";"156,08";"140,16";"140,15984";"-0,00016";"77,12"
161;10/28/2025;;"90,09";"0,695";"90,09";"62,61";"62,61255";"0,00255";"-1229,1"
162;10/28/2025;"0,911";"21,05";"0,908";"21,05";"19,11";"19,1134";"0,0034";"-1638,8"
163;10/28/2025;;"17,67";"0,673";"17,67";"11,89";"11,89191";"0,00191";"-920,62"
164;10/30/2025;"0,893";"60,69";"0,894";"60,69";"54,26";"54,25686";"-0,00314";"1475,8"
165;11/4/2025;"0,884";"55,35";"0,898";"55,35";"49,7";"49,7043";"0,0043";"-2029,6"
166;11/4/2025;"0,865";"105,14";"0,863";"105,14";"90,73";"90,73582";"0,00582";"-2747,04"
167;11/4/2025;;"96,25";"0,883";"96,25";"84,98";"84,98875";"0,00875";-4130
168;11/7/2025;"0,877";"175,39";"0,883";"175,4";"154,88";"154,86937";"-0,01063";"4911,06"
169;11/10/2025;"0,886";"116,32";"0,895";"116,34";"104,12";"104,1064";"-0,0136";6392
170;11/15/2025;"0,878";"98,84";"0,886";"98,84";"87,57";"87,57224";"0,00224";"-1057,28"
171;11/15/2025;"0,895";"99,16";"0,899";"99,16";"89,14";"89,14484";"0,00484";"-2284,48"
172;11/15/2025;"0,86";"100,02";"0,862";"100,03";"86,22";"86,21724";"-0,00276";"1302,72"
173;11/15/2025;"0,901";"62,5";"0,904";"62,51";"56,5";"56,5";0;0
174;11/20/2025;"0,896";"118,06";"0,9";"118,07";"106,26";"106,254";"-0,006";2820
175;11/20/2025;"0,906";"63,6";"0,904";"63,6";"57,49";"57,4944";"0,0044";-2068
176;11/27/2025;"0,878";"60,9";"0,881";"60,9";"53,65";"53,6529";"0,0029";"-1386,2"
177;11/27/2025;"0,938";"3,92";"0,922";"3,92";"3,61";"3,61424";"0,00424";"-2026,72"
178;11/27/2025;"0,882";"53,69";"0,883";"53,69";"47,4";"47,40827";"0,00827";"-3953,06"
179;11/27/2025;"0,877";"22,8";"0,882";"22,8";"20,11";"20,1096";"-0,0004";"191,2"
180;11/27/2025;"0,906";"49,36";"0,9";"49,36";"44,42";"44,424";"0,004";-1912
181;11/27/2025;"0,896";"63,5";"0,891";"63,5";"56,58";"56,5785";"-0,0015";717
182;12/1/2025;"0,891";"36,85";"0,894";"36,85";"32,94";"32,9439";"0,0039";-1872
183;12/1/2025;"0,897";"41,48";"0,899";"41,48";"37,29";"37,29052";"0,00052";"-249,6"
184;12/1/2025;"0,874";"85,57";"0,878";"85,57";"75,13";"75,13046";"0,00046";"-220,8"
185;12/1/2025;1;"6,39";1;"6,39";"6,39";"6,39";0;0
186;12/4/2025;"0,935";"15,97";"0,932";"15,97";"14,88";"14,88404";"0,00404";"-1939,2"
187;12/4/2025;"0,916";"9,28";"0,908";"9,28";"8,43";"8,42624";"-0,00376";"1804,8"
188;12/4/2025;"0,88";"142,2";"0,88";"142,2";"125,136";"125,136";0;0
189;12/4/2025;"0,88";"5,65";"0,885";"5,65";5;"5,00025";"0,00025";-120
190;12/9/2025;1;"23,8";"0,989";"23,8";"23,53";"23,5382";"0,0082";-3936
191;12/9/2025;"0,902";"64,35";"0,902";"64,35";"58,04";"58,0437";"0,0037";-1776
192;12/9/2025;"0,893";"82,03";"0,903";"82,03";"74,07";"74,07309";"0,00309";"-1483,2"
193;12/18/2025;;"7,11";"0,723";"7,11";"5,14";"5,14053";"0,00053";"-246,45"
194;12/18/2025;"0,889";"81,95";"0,882";"81,95";"72,2799";"72,2799";0;0
